_id,id,aula,polo,sede,day,month,year,time.start,time.end,bookingDate,googleCalendarId,,,,,,,,,,,,,
5fa86f481bd2a03f4641a115,10022,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T22:20:56.881Z,7l5dvi7a0l5nlu0hpshpguhqso,,,,,,,,,,,,,
5fa86f591bd2a03f4641a117,10022,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T22:21:13.998Z,gdbgmipu1bkk7l21a1gkn9tdhk,,,,,,,,,,,,,
5fa86f691bd2a03f4641a119,10022,1001,1001,1000,9,11,2020,18.30,20.30,2020-11-08T22:21:29.580Z,pm58vhkrbj0s7o47q86qrq1acg,,,,,,,,,,,,,
5fa86fa91bd2a03f4641a11b,10023,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T22:22:33.156Z,btvhmqttokukho0pgr10sg9rtk,,,,,,,,,,,,,
5fa86fc01bd2a03f4641a11d,10023,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T22:22:56.828Z,1pnq827s03phqmhha3thfdnuts,,,,,,,,,,,,,
5fa86fcf1bd2a03f4641a11f,10023,1001,1001,1000,9,11,2020,18.30,20.30,2020-11-08T22:23:11.306Z,1vhno188i9frjpjmalss151jhs,,,,,,,,,,,,,
5fa8731a1bd2a03f4641a12b,10024,1000,1000,1000,9,11,2020,8.30,10.30,2020-11-08T22:37:14.805Z,29mqs4msjfp8j6mmjumb1v5jl4,,,,,,,,,,,,,
5fa8732c1bd2a03f4641a12d,10024,1000,1000,1000,9,11,2020,10.45,12.45,2020-11-08T22:37:32.482Z,6hu3uj6qqprn3gqc2u5ve9i1q8,,,,,,,,,,,,,
5fa87aad1bd2a03f4641a13e,10025,1005,1005,1001,9,11,2020,14.00,15.00,2020-11-08T23:09:33.886Z,p281jcop49ahthpu3ab9nnmnu8,,,,,,,,,,,,,
5fa87b5e1bd2a03f4641a140,10026,1001,1001,1000,9,11,2020,8.30,10.30,2020-11-08T23:12:30.288Z,7f0u6782g51e6dkga117g66lec,,,,,,,,,,,,,
5fa87b721bd2a03f4641a142,10026,1001,1001,1000,9,11,2020,10.45,12.45,2020-11-08T23:12:50.868Z,q88gt9qc1od1fnqab304ffjjoc,,,,,,,,,,,,,
5fa87c1d1bd2a03f4641a144,10025,1005,1005,1001,9,11,2020,10.00,11.00,2020-11-08T23:15:41.137Z,v6tmd17dd0g84f9p2402m9rgno,,,,,,,,,,,,,
5fa880b31bd2a03f4641a146,10027,1000,1000,1000,9,11,2020,8.30,10.30,2020-11-08T23:35:15.088Z,ekedan3skrulqn744qkvh91puo,,,,,,,,,,,,,
5fa880c21bd2a03f4641a148,10027,1000,1000,1000,9,11,2020,10.45,12.45,2020-11-08T23:35:30.829Z,0uvcn247fh5aa4ve5p31n7jmms,,,,,,,,,,,,,
5fa882ba1bd2a03f4641a14c,10028,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-08T23:43:54.261Z,p0qfjifagbsufhduqkmuuq8org,,,,,,,,,,,,,
5fa882f91bd2a03f4641a14e,10028,1000,1000,1000,9,11,2020,8.30,10.30,2020-11-08T23:44:57.805Z,8dpg31uavv8bvkhsd83imik510,,,,,,,,,,,,,
5fa883251bd2a03f4641a151,10028,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T23:45:41.147Z,c0hl2uamrer4bibgth92e27muk,,,,,,,,,,,,,
5fa8e1261bd2a03f4641a156,10029,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T06:26:46.143Z,ac950nk5j1r3b0fs8r9jkpbp3g,,,,,,,,,,,,,
5fa8e1461bd2a03f4641a158,10029,1001,1001,1000,10,11,2020,10.45,12.45,2020-11-09T06:27:18.240Z,kjtb8p6doinkbs49k394g76nnk,,,,,,,,,,,,,
5fa8e1551bd2a03f4641a15a,10029,1001,1001,1000,10,11,2020,14.15,16.15,2020-11-09T06:27:33.040Z,f0ucsl4256ucjdflsan9tngtd4,,,,,,,,,,,,,
5fa8e16e1bd2a03f4641a15c,10029,1001,1001,1000,10,11,2020,16.30,18.30,2020-11-09T06:27:58.081Z,ilj9b73b3g7p4j0a1456gvr7o4,,,,,,,,,,,,,
5fa8fb591bd2a03f4641a1f1,10030,1000,1000,1000,11,11,2020,8.30,10.30,2020-11-09T08:18:33.352Z,09sqa1enb7i9g56ph317l7go4c,,,,,,,,,,,,,
5fa8fb811bd2a03f4641a1f3,10030,1000,1000,1000,11,11,2020,10.45,12.45,2020-11-09T08:19:13.621Z,i5icggd9fgsdl92ps25suln37s,,,,,,,,,,,,,
5fa8fbfa1bd2a03f4641a1f6,10031,1001,1001,1000,10,11,2020,16.30,18.30,2020-11-09T08:21:14.544Z,dlkuh41cbk0uafostp12evnki8,,,,,,,,,,,,,
5fa8fc3d1bd2a03f4641a1ff,10031,1001,1001,1000,11,11,2020,16.30,18.30,2020-11-09T08:22:21.439Z,sjqfnnflovkdpjpvi31jdoiil4,,,,,,,,,,,,,
5fa8fc831bd2a03f4641a202,10031,1001,1001,1000,12,11,2020,16.30,18.30,2020-11-09T08:23:31.656Z,3njpmamkmkj19or9p5oc0q298o,,,,,,,,,,,,,
5fa8fc9b1bd2a03f4641a20b,10031,1001,1001,1000,13,11,2020,16.30,18.30,2020-11-09T08:23:55.394Z,2se6unedspojedggnaa00168ds,,,,,,,,,,,,,
5fa8fcf21bd2a03f4641a215,10031,1001,1001,1000,16,11,2020,16.30,18.30,2020-11-09T08:25:22.415Z,js5lru0hqdn0o704kk6k83v7rs,,,,,,,,,,,,,
5fa906051bd2a03f4641a21a,10032,1000,1000,1000,9,11,2020,10.45,12.45,2020-11-09T09:04:05.272Z,2suomhq4nl9ii1na12sngrap70,,,,,,,,,,,,,
