_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fabbdbf1bd2a03f4641aa8f,80968,100,9,2,4,11/11/2020 11:32,11/11/2020 11:32,12,11/11/2020 13:05
5fabc6e91bd2a03f4641aaaa,229,469,9,2,4,11/11/2020 12:11,11/11/2020 12:11,13,11/11/2020 13:02
5fabc8d11bd2a03f4641aaac,69097,442,39,1,1,11/11/2020 12:19,11/11/2020 12:19,1,11/11/2020 13:05
5fabde841bd2a03f4641aae3,60152,27,5,1,3,11/11/2020 13:52,11/11/2020 13:52,1,11/11/2020 13:52
5fabde8d1bd2a03f4641aae4,60152,27,5,1,3,11/11/2020 13:52,11/11/2020 13:52,2,11/11/2020 13:52
5fabde971bd2a03f4641aae5,60152,27,5,1,3,11/11/2020 13:52,11/11/2020 13:52,3,11/11/2020 19:05
5fabdfe01bd2a03f4641aae6,80499,346,11,1,6,11/11/2020 13:58,11/11/2020 13:58,1,11/11/2020 19:05
5fabdfea1bd2a03f4641aae7,82112,347,11,1,6,11/11/2020 13:58,11/11/2020 13:58,2,11/11/2020 15:47
5fabdfed1bd2a03f4641aae8,80157,108,7,1,7,11/11/2020 13:58,11/11/2020 13:58,1,11/11/2020 19:05
5fabdfee1bd2a03f4641aae9,81706,141,11,1,6,11/11/2020 13:58,11/11/2020 13:58,3,11/11/2020 19:05
5fabdfee1bd2a03f4641aaea,62552,470,31,1,1,11/11/2020 13:58,11/11/2020 13:58,1,11/11/2020 19:05
5fabdff21bd2a03f4641aaeb,80173,106,7,1,7,11/11/2020 13:58,11/11/2020 13:58,2,11/11/2020 16:02
5fabe0141bd2a03f4641aaec,80419,119,5,1,3,11/11/2020 13:59,11/11/2020 13:59,4,11/11/2020 19:05
5fabe0191bd2a03f4641aaed,81279,317,5,1,3,11/11/2020 13:59,11/11/2020 13:59,5,11/11/2020 19:05
5fabe0781bd2a03f4641aaee,68588,174,15,1,10,11/11/2020 14:00,11/11/2020 14:00,1,11/11/2020 15:44
5fabe0861bd2a03f4641aaef,80880,178,15,1,10,11/11/2020 14:00,11/11/2020 14:00,2,11/11/2020 16:04
5fabe08a1bd2a03f4641aaf0,81171,96,11,1,6,11/11/2020 14:00,11/11/2020 14:00,4,11/11/2020 19:05
5fabe0961bd2a03f4641aaf1,80944,93,11,1,6,11/11/2020 14:01,11/11/2020 14:01,5,11/11/2020 16:01
5fabe0961bd2a03f4641aaf2,80742,94,11,1,6,11/11/2020 14:01,11/11/2020 14:01,6,11/11/2020 19:05
5fabe09b1bd2a03f4641aaf3,80214,390,11,1,6,11/11/2020 14:01,11/11/2020 14:01,7,11/11/2020 19:05
5fabe0a41bd2a03f4641aaf4,80975,256,11,1,6,11/11/2020 14:01,11/11/2020 14:01,8,11/11/2020 16:01
5fabe0a91bd2a03f4641aaf5,80401,392,11,1,6,11/11/2020 14:01,11/11/2020 14:01,9,11/11/2020 16:17
5fabe0ad1bd2a03f4641aaf6,81532,384,15,1,10,11/11/2020 14:01,11/11/2020 14:01,3,11/11/2020 15:41
5fabe0ad1bd2a03f4641aaf7,80699,89,11,1,6,11/11/2020 14:01,11/11/2020 14:01,10,11/11/2020 16:01
5fabe0af1bd2a03f4641aaf8,81179,177,15,1,10,11/11/2020 14:01,11/11/2020 14:01,4,11/11/2020 19:05
5fabe0af1bd2a03f4641aaf9,81179,177,15,1,10,11/11/2020 14:01,11/11/2020 14:01,5,11/11/2020 16:12
5fabe0b11bd2a03f4641aafa,80146,88,11,1,6,11/11/2020 14:01,11/11/2020 14:01,11,11/11/2020 19:05
5fabe0bc1bd2a03f4641aafb,73014,471,39,1,1,11/11/2020 14:01,11/11/2020 14:01,1,11/11/2020 19:05
5fabe0c11bd2a03f4641aafc,80625,173,11,1,6,11/11/2020 14:01,11/11/2020 14:01,12,11/11/2020 19:05
5fabe0c71bd2a03f4641aafd,80435,460,11,1,6,11/11/2020 14:01,11/11/2020 14:01,13,11/11/2020 19:05
5fabe0c91bd2a03f4641aafe,69097,442,39,1,1,11/11/2020 14:02,11/11/2020 14:02,2,11/11/2020 19:05
5fabe0ca1bd2a03f4641aaff,81120,459,11,1,6,11/11/2020 14:02,11/11/2020 14:02,14,11/11/2020 19:05
5fabe0eb1bd2a03f4641ab00,81968,82,11,1,6,11/11/2020 14:02,11/11/2020 14:02,15,11/11/2020 16:06
5fabe0fa1bd2a03f4641ab01,81237,81,11,1,6,11/11/2020 14:02,11/11/2020 14:02,16,11/11/2020 15:59
5fabe0fd1bd2a03f4641ab02,81149,70,11,1,6,11/11/2020 14:02,11/11/2020 14:02,17,11/11/2020 19:05
5fabe1001bd2a03f4641ab03,80462,84,11,1,6,11/11/2020 14:02,11/11/2020 14:02,18,11/11/2020 19:05
5fabe1041bd2a03f4641ab04,81341,171,11,1,6,11/11/2020 14:03,11/11/2020 14:03,19,11/11/2020 19:05
5fabe1081bd2a03f4641ab05,80169,148,12,3,8,11/11/2020 14:03,11/11/2020 14:03,1,11/11/2020 19:05
5fabe1091bd2a03f4641ab06,80427,69,11,1,6,11/11/2020 14:03,11/11/2020 14:03,20,11/11/2020 19:05
5fabe10c1bd2a03f4641ab07,80799,83,11,1,6,11/11/2020 14:03,11/11/2020 14:03,21,11/11/2020 16:21
5fabe10e1bd2a03f4641ab08,80373,149,12,3,8,11/11/2020 14:03,11/11/2020 14:03,2,11/11/2020 17:54
5fabe1151bd2a03f4641ab09,80996,97,11,1,6,11/11/2020 14:03,11/11/2020 14:03,22,11/11/2020 16:03
5fabe11a1bd2a03f4641ab0a,81986,343,11,1,6,11/11/2020 14:03,11/11/2020 14:03,23,11/11/2020 16:03
5fabe11e1bd2a03f4641ab0b,80995,98,11,1,6,11/11/2020 14:03,11/11/2020 14:03,24,11/11/2020 16:16
5fabe12b1bd2a03f4641ab0c,80430,145,11,1,6,11/11/2020 14:03,11/11/2020 14:03,25,11/11/2020 16:07
5fabe1341bd2a03f4641ab0d,80708,144,11,1,6,11/11/2020 14:03,11/11/2020 14:03,26,11/11/2020 15:51
5fabe15b1bd2a03f4641ab14,68427,461,40,1,7,11/11/2020 14:04,11/11/2020 14:04,1,11/11/2020 15:59
